Level,Date and Time,Source,Event ID,Task Category
Information,4.12.2016 г. 11:12:39 ч.,EventLog,6005,None,The Event log service was started.
Information,4.12.2016 г. 10:38:15 ч.,EventLog,6005,None,The Event log service was started.
Information,4.12.2016 г. 10:35:53 ч.,EventLog,6005,None,The Event log service was started.
Information,2.12.2016 г. 14:10:55 ч.,EventLog,6006,None,The Event log service was stopped.
Information,2.12.2016 г. 14:05:49 ч.,EventLog,6005,None,The Event log service was started.
Information,2.12.2016 г. 13:22:59 ч.,EventLog,6006,None,The Event log service was stopped.
Information,2.12.2016 г. 08:56:15 ч.,EventLog,6005,None,The Event log service was started.
Information,1.12.2016 г. 15:30:16 ч.,EventLog,6005,None,The Event log service was started.
Information,1.12.2016 г. 12:46:06 ч.,EventLog,6006,None,The Event log service was stopped.
Information,1.12.2016 г. 08:19:02 ч.,EventLog,6005,None,The Event log service was started.
Information,1.12.2016 г. 08:17:34 ч.,EventLog,6005,None,The Event log service was started.
Information,30.11.2016 г. 19:06:02 ч.,EventLog,6006,None,The Event log service was stopped.
Information,30.11.2016 г. 18:23:05 ч.,EventLog,6005,None,The Event log service was started.
Information,30.11.2016 г. 13:01:15 ч.,EventLog,6006,None,The Event log service was stopped.
Information,30.11.2016 г. 09:33:17 ч.,EventLog,6005,None,The Event log service was started.
Information,30.11.2016 г. 08:46:09 ч.,EventLog,6005,None,The Event log service was started.
Information,30.11.2016 г. 00:12:54 ч.,EventLog,6006,None,The Event log service was stopped.
Information,29.11.2016 г. 22:51:47 ч.,EventLog,6005,None,The Event log service was started.
Information,29.11.2016 г. 22:41:18 ч.,EventLog,6005,None,The Event log service was started.
Information,29.11.2016 г. 17:18:36 ч.,EventLog,6006,None,The Event log service was stopped.
Information,29.11.2016 г. 14:58:21 ч.,EventLog,6005,None,The Event log service was started.
Information,29.11.2016 г. 12:36:44 ч.,EventLog,6006,None,The Event log service was stopped.
Information,29.11.2016 г. 08:12:16 ч.,EventLog,6005,None,The Event log service was started.
Information,28.11.2016 г. 12:06:48 ч.,EventLog,6006,None,The Event log service was stopped.
Information,28.11.2016 г. 08:38:54 ч.,EventLog,6005,None,The Event log service was started.
Information,27.11.2016 г. 11:25:40 ч.,EventLog,6006,None,The Event log service was stopped.
Information,27.11.2016 г. 11:13:11 ч.,EventLog,6005,None,The Event log service was started.
Information,27.11.2016 г. 11:11:56 ч.,EventLog,6005,None,The Event log service was started.
Information,25.11.2016 г. 23:54:58 ч.,EventLog,6006,None,The Event log service was stopped.
Information,25.11.2016 г. 23:51:58 ч.,EventLog,6005,None,The Event log service was started.
Information,25.11.2016 г. 11:55:52 ч.,EventLog,6006,None,The Event log service was stopped.
Information,25.11.2016 г. 08:25:43 ч.,EventLog,6005,None,The Event log service was started.
Information,24.11.2016 г. 21:08:30 ч.,EventLog,6006,None,The Event log service was stopped.
Information,24.11.2016 г. 20:38:48 ч.,EventLog,6005,None,The Event log service was started.
Information,24.11.2016 г. 09:49:31 ч.,EventLog,6005,None,The Event log service was started.
Information,24.11.2016 г. 01:08:02 ч.,EventLog,6006,None,The Event log service was stopped.
Information,23.11.2016 г. 23:44:57 ч.,EventLog,6005,None,The Event log service was started.
Information,23.11.2016 г. 22:58:18 ч.,EventLog,6005,None,The Event log service was started.
Information,23.11.2016 г. 22:52:11 ч.,EventLog,6005,None,The Event log service was started.
Information,23.11.2016 г. 12:35:10 ч.,EventLog,6006,None,The Event log service was stopped.
Information,23.11.2016 г. 08:29:23 ч.,EventLog,6005,None,The Event log service was started.
Information,22.11.2016 г. 18:03:13 ч.,EventLog,6006,None,The Event log service was stopped.
Information,22.11.2016 г. 14:39:57 ч.,EventLog,6005,None,The Event log service was started.
Information,22.11.2016 г. 12:41:10 ч.,EventLog,6006,None,The Event log service was stopped.
Information,22.11.2016 г. 08:33:51 ч.,EventLog,6005,None,The Event log service was started.
Information,21.11.2016 г. 12:44:26 ч.,EventLog,6006,None,The Event log service was stopped.
Information,21.11.2016 г. 08:34:56 ч.,EventLog,6005,None,The Event log service was started.
Information,20.11.2016 г. 21:18:24 ч.,EventLog,6006,None,The Event log service was stopped.
Information,20.11.2016 г. 21:14:47 ч.,EventLog,6005,None,The Event log service was started.
Information,20.11.2016 г. 21:05:34 ч.,EventLog,6006,None,The Event log service was stopped.
Information,20.11.2016 г. 20:28:55 ч.,EventLog,6005,None,The Event log service was started.
Information,16.11.2016 г. 18:49:07 ч.,EventLog,6006,None,The Event log service was stopped.
Information,16.11.2016 г. 18:48:16 ч.,EventLog,6005,None,The Event log service was started.
Information,16.11.2016 г. 17:50:24 ч.,EventLog,6006,None,The Event log service was stopped.
Information,16.11.2016 г. 15:24:20 ч.,EventLog,6005,None,The Event log service was started.
Information,16.11.2016 г. 11:46:20 ч.,EventLog,6006,None,The Event log service was stopped.
Information,16.11.2016 г. 08:24:44 ч.,EventLog,6005,None,The Event log service was started.
Information,15.11.2016 г. 20:24:54 ч.,EventLog,6006,None,The Event log service was stopped.
Information,15.11.2016 г. 19:39:18 ч.,EventLog,6005,None,The Event log service was started.
Information,15.11.2016 г. 12:41:03 ч.,EventLog,6006,None,The Event log service was stopped.
Information,15.11.2016 г. 08:57:22 ч.,EventLog,6005,None,The Event log service was started.
Information,14.11.2016 г. 12:26:27 ч.,EventLog,6006,None,The Event log service was stopped.
Information,14.11.2016 г. 09:22:10 ч.,EventLog,6005,None,The Event log service was started.
Information,14.11.2016 г. 08:12:48 ч.,EventLog,6005,None,The Event log service was started.
Information,13.11.2016 г. 18:41:36 ч.,EventLog,6006,None,The Event log service was stopped.
Information,13.11.2016 г. 18:41:09 ч.,EventLog,6005,None,The Event log service was started.
Information,13.11.2016 г. 10:07:31 ч.,EventLog,6005,None,The Event log service was started.
Information,12.11.2016 г. 08:38:09 ч.,EventLog,6006,None,The Event log service was stopped.
Information,12.11.2016 г. 07:54:56 ч.,EventLog,6005,None,The Event log service was started.
Information,12.11.2016 г. 00:40:58 ч.,EventLog,6006,None,The Event log service was stopped.
Information,11.11.2016 г. 21:59:59 ч.,EventLog,6005,None,The Event log service was started.
Information,11.11.2016 г. 16:59:57 ч.,EventLog,6006,None,The Event log service was stopped.
Information,11.11.2016 г. 15:56:41 ч.,EventLog,6005,None,The Event log service was started.
Information,11.11.2016 г. 12:02:59 ч.,EventLog,6006,None,The Event log service was stopped.
Information,11.11.2016 г. 08:25:23 ч.,EventLog,6005,None,The Event log service was started.
Information,10.11.2016 г. 17:59:18 ч.,EventLog,6006,None,The Event log service was stopped.
Information,10.11.2016 г. 13:24:09 ч.,EventLog,6005,None,The Event log service was started.
Information,10.11.2016 г. 12:24:18 ч.,EventLog,6006,None,The Event log service was stopped.
Information,10.11.2016 г. 10:50:38 ч.,EventLog,6005,None,The Event log service was started.
Information,10.11.2016 г. 10:22:14 ч.,EventLog,6005,None,The Event log service was started.
Information,10.11.2016 г. 09:51:17 ч.,EventLog,6005,None,The Event log service was started.
Information,10.11.2016 г. 09:44:19 ч.,EventLog,6005,None,The Event log service was started.
Information,10.11.2016 г. 09:38:41 ч.,EventLog,6005,None,The Event log service was started.
Information,9.11.2016 г. 18:13:31 ч.,EventLog,6006,None,The Event log service was stopped.
Information,9.11.2016 г. 14:59:11 ч.,EventLog,6005,None,The Event log service was started.
Information,9.11.2016 г. 12:39:20 ч.,EventLog,6006,None,The Event log service was stopped.
Information,9.11.2016 г. 08:24:49 ч.,EventLog,6005,None,The Event log service was started.
Information,8.11.2016 г. 11:52:19 ч.,EventLog,6006,None,The Event log service was stopped.
Information,8.11.2016 г. 08:37:43 ч.,EventLog,6005,None,The Event log service was started.
Information,7.11.2016 г. 11:37:35 ч.,EventLog,6006,None,The Event log service was stopped.
Information,7.11.2016 г. 08:33:08 ч.,EventLog,6005,None,The Event log service was started.
Information,7.11.2016 г. 08:26:31 ч.,EventLog,6005,None,The Event log service was started.
Information,4.11.2016 г. 11:24:23 ч.,EventLog,6006,None,The Event log service was stopped.
Information,4.11.2016 г. 08:23:18 ч.,EventLog,6005,None,The Event log service was started.
Information,2.11.2016 г. 10:35:34 ч.,EventLog,6006,None,The Event log service was stopped.
Information,2.11.2016 г. 10:33:12 ч.,EventLog,6005,None,The Event log service was started.
Information,31.10.2016 г. 08:11:21 ч.,EventLog,6005,None,The Event log service was started.
Information,31.10.2016 г. 08:05:20 ч.,EventLog,6005,None,The Event log service was started.
Information,29.10.2016 г. 20:56:49 ч.,EventLog,6006,None,The Event log service was stopped.
Information,29.10.2016 г. 20:43:40 ч.,EventLog,6005,None,The Event log service was started.
Information,27.10.2016 г. 11:16:54 ч.,EventLog,6006,None,The Event log service was stopped.
Information,27.10.2016 г. 09:31:24 ч.,EventLog,6005,None,The Event log service was started.
Information,25.10.2016 г. 11:17:11 ч.,EventLog,6006,None,The Event log service was stopped.
Information,25.10.2016 г. 09:23:23 ч.,EventLog,6005,None,The Event log service was started.
Information,24.10.2016 г. 10:59:54 ч.,EventLog,6006,None,The Event log service was stopped.
Information,24.10.2016 г. 09:28:14 ч.,EventLog,6005,None,The Event log service was started.
Information,20.10.2016 г. 17:10:26 ч.,EventLog,6006,None,The Event log service was stopped.
Information,20.10.2016 г. 16:08:58 ч.,EventLog,6005,None,The Event log service was started.
Information,20.10.2016 г. 12:12:02 ч.,EventLog,6006,None,The Event log service was stopped.
Information,20.10.2016 г. 11:00:20 ч.,EventLog,6005,None,The Event log service was started.
Information,19.10.2016 г. 12:17:54 ч.,EventLog,6006,None,The Event log service was stopped.
Information,19.10.2016 г. 09:17:22 ч.,EventLog,6005,None,The Event log service was started.
Information,4.10.2016 г. 19:50:02 ч.,EventLog,6005,None,The Event log service was started.
Information,25.9.2016 г. 01:54:11 ч.,EventLog,6006,None,The Event log service was stopped.
Information,25.9.2016 г. 00:01:54 ч.,EventLog,6005,None,The Event log service was started.
Information,23.9.2016 г. 23:53:11 ч.,EventLog,6006,None,The Event log service was stopped.
Information,23.9.2016 г. 12:49:23 ч.,EventLog,6005,None,The Event log service was started.
Information,23.9.2016 г. 00:17:25 ч.,EventLog,6006,None,The Event log service was stopped.
Information,22.9.2016 г. 23:59:04 ч.,EventLog,6005,None,The Event log service was started.
Information,22.9.2016 г. 22:33:27 ч.,EventLog,6005,None,The Event log service was started.
Information,22.9.2016 г. 22:30:51 ч.,EventLog,6005,None,The Event log service was started.
Information,21.9.2016 г. 13:17:20 ч.,EventLog,6006,None,The Event log service was stopped.
